class,subclass,count,category,Keep
amenity,dog_day_care,2,Healthcare,1
amenity,events_centre,2,Entertainment,1
amenity,festival_grounds,2,Entertainment,1
amenity,gantry,2,Transportation,1
amenity,give_box,2,Financial Services,0
amenity,lavoir,2,Historic,1
amenity,meeting,2,Office,0
amenity,meeting_point,2,Recreation,0
amenity,pumping_station,2,Transportation,0
amenity,rental,2,Transportation,0
amenity,rescue_station,2,Emergency Services,0
amenity,rubbish_bin,2,Outdoor Recreation,0
amenity,salt,2,Groceries and Food,1
amenity,scooter_parking,2,Transportation,0
amenity,toy_library,2,Education,1
amenity,vacant,2,Office,1
amenity,vehicle_ramp,2,Transportation,0
craft,bookbinder,2,Artisan Workshops,1
craft,carpet_layer,2,Artisan Workshops,1
craft,chimney_sweeper,2,Artisan Workshops,1
craft,floorer,2,Artisan Workshops,1
craft,glassblower,2,Artisan Workshops,1
craft,metal_works,2,Artisan Workshops,1
craft,parquet_layer,2,Artisan Workshops,1
craft,photographic_laboratory,2,Artisan Workshops,1
craft,saddler,2,Artisan Workshops,1
craft,scaffolder,2,Artisan Workshops,1
craft,tiler,2,Artisan Workshops,1
craft,yes,2,Craft,1
emergency,lifeboat,2,Emergency Services,0
emergency,water_rescue,2,Emergency Services,0
emergency,water_tank,2,Emergency Services,0
historic,R,2,Historic,1
historic,cairn,2,Historic,1
historic,gallows,2,Historic,1
historic,heritage,2,Historic,1
historic,locomotive,2,Historic,1
historic,remains,2,Historic,1
historic,settlement,2,Historic,1
historic,wayside_chapel,2,Religious Places,1
leisure,firepot,2,Outdoor Recreation,1
leisure,fountain,2,Outdoor Recreation,1
leisure,hammock_swing,2,Outdoor Recreation,1
leisure,hunting_stand,2,Outdoor Recreation,1
leisure,lake_bath,2,Outdoor Recreation,1
leisure,naturhamn,2,Recreation,1
leisure,park_bench,2,Outdoor Recreation,1
leisure,picnic_site,2,Outdoor Recreation,1
leisure,recreation_ground,2,Recreation,1
leisure,riding,2,Sports and Activities,1
leisure,swimming_area.,2,Outdoor Recreation,1
office,bank,2,Financial Services,1
office,courier,2,Transportation,1
office,financial_advisor,2,Financial Services,1
office,labor_union,2,Office,1
office,labour_union,2,Office,1
office,transport,2,Office,1
office,transportation,2,Transportation,1
shop,applience,2,Home and Living,1
shop,auctioneers,2,Financial Services,1
shop,coffee_roasting,2,Food and Drink,1
shop,factory_outlet,2,Fashion and Accessories,1
shop,flea_market,2,Groceries and Food,1
shop,glass,2,Craft,1
shop,gym,2,Sports and Activities,1
shop,honey,2,Groceries and Food,1
shop,hvac,2,Home and Living,1
shop,insurance,2,Financial Services,1
shop,interior_design,2,Home and Living,1
shop,money_transfer,2,Financial Services,1
shop,office,2,Office,1
shop,printing,2,Office,1
shop,religion,2,Shop,1
shop,shopping_centre,2,Groceries and Food,1
shop,signs,2,Office,1
shop,snus,2,Health and Beauty,1
shop,tableware,2,Home and Living,1
shop,tanning,2,Health and Beauty,1
shop,telecommunication,2,Office,1
shop,tools,2,Craft,1
shop,truck_repair,2,Automotive Services,1
shop,weapons,2,Craft,1
shop,wigs,2,Fashion and Accessories,1
sport,archery,2,Sports and Activities,1
sport,bowls,2,Sports and Activities,1
sport,canoeing,2,Outdoor Recreation,1
sport,cross_country_skiing;orienteering,2,Sports and Activities,1
sport,cycling,2,Sports and Activities,1
sport,dance,2,Entertainment,1
sport,fencing,2,Sports and Activities,1
sport,fitness,2,Sports and Activities,1
sport,handball,2,Sports and Activities,1
sport,ice_skating,2,Sports and Activities,1
sport,miniature_golf,2,Sports and Activities,1
sport,paddle_tennis,2,Sports and Activities,1
sport,running,2,Sports and Activities,1
sport,shooting_range,2,Sports and Activities,1
sport,ski,2,Outdoor Recreation,1
sport,skydiving,2,Sports and Activities,1
sport,surfing,2,Sports and Activities,1
sport,wrestling,2,Sports and Activities,1
tourism,camping,2,Outdoor Recreation,1
amenity,Select,1,Unknown,0
amenity,abandoned_fuel,1,Automotive Services,0
